[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000248 0x00000248 4   5            ascii   Rich
2    0x00000358 0x00000358 5   6            ascii   .text
3    0x0000037f 0x0000037f 7   8            ascii   h.rdata
4    0x000003a7 0x000003a7 6   7            ascii   H.data
5    0x000003d0 0x000003d0 4   5            ascii   PAGE
6    0x000003f7 0x000003f7 5   6            ascii   `INIT
7    0x00000420 0x00000420 6   7            ascii   .reloc
70   0x00001796 0x00011796 4   5    .text   ascii   E\fS3
71   0x0000183b 0x0001183b 4   5    .text   ascii   _^[]
72   0x00001941 0x00011941 4   7    .text   utf8    3\r}ث blocks=Basic Latin,Arabic
73   0x000019cc 0x000119cc 4   5    .text   ascii   t&;\r
74   0x00001abc 0x00011abc 4   5    .text   ascii   j\bXf
75   0x00001b85 0x00011b85 8   9    .text   ascii   I\b;M\bt\a3
76   0x00001c57 0x00011c57 4   5    .text   ascii   _^[]
77   0x00001e4b 0x00011e4b 5   6    .text   ascii   HHPWS
78   0x0000200e 0x0001200e 5   8    .text   utf8    C3\r}ȫ blocks=Basic Latin,Latin Extended-B
79   0x00002018 0x00012018 4   7    .text   utf8    3\r}ث blocks=Basic Latin,Arabic
80   0x000020a3 0x000120a3 4   5    .text   ascii   t&;\r
81   0x0000218f 0x0001218f 4   5    .text   ascii   j\bXf
82   0x00002229 0x00012229 5   6    .text   ascii   8_!t\a
83   0x00002247 0x00012247 7   8    .text   ascii   @\b;E\bt8
84   0x000022e1 0x000122e1 4   5    .text   ascii   SSh@
85   0x000022f3 0x000122f3 4   5    .text   ascii   _^[]
86   0x00002307 0x00012307 5   6    .text   ascii   ]\bVW3
87   0x000023a3 0x000123a3 4   5    .text   ascii   _^[]
88   0x000023b7 0x000123b7 4   5    .text   ascii   ]\bVj
89   0x000025bd 0x000125bd 4   5    .text   ascii   _^[]
90   0x00002655 0x00012655 4   7    .text   utf8    3\r}ȫ blocks=Basic Latin,Latin Extended-B
91   0x000026b9 0x000126b9 4   5    .text   ascii   j\bXf
92   0x00002755 0x00012755 4   5    .text   ascii   VVVV
93   0x0000276f 0x0001276f 5   6    .text   ascii   t+Vh<
94   0x0000281f 0x0001281f 4   5    .text   ascii   u\fRW
95   0x0000283c 0x0001283c 5   6    .text   ascii   u\rPRQ
96   0x0000285a 0x0001285a 5   6    .text   ascii   Nt"Nt
97   0x00002860 0x00012860 6   7    .text   ascii   NtbNtU
98   0x00002869 0x00012869 5   6    .text   ascii   udPRQ
99   0x00002874 0x00012874 4   5    .text   ascii   cPRQ
100  0x0000287e 0x0001287e 4   5    .text   ascii   YPRQ
101  0x00002895 0x00012895 5   6    .text   ascii   t.Nt!
102  0x000028a3 0x000128a3 7   8    .text   ascii   NNu(PRQ
103  0x000028b0 0x000128b0 4   5    .text   ascii   'PRQ
104  0x0000295c 0x0001295c 5   6    .text   ascii   Ht0Ht
105  0x000029fa 0x000129fa 4   5    .text   ascii   u\tWS
106  0x00002a14 0x00012a14 5   6    .text   ascii   u\nPWV
107  0x00002a25 0x00012a25 6   7    .text   ascii   tBIIt4
108  0x00002a3e 0x00012a3e 4   5    .text   ascii   2PWS
109  0x00002a49 0x00012a49 4   5    .text   ascii   u\tWS
110  0x00002a68 0x00012a68 4   5    .text   ascii   \bPWV
111  0x00002a71 0x00012a71 4   5    .text   ascii   _^[]
112  0x00002b1c 0x00012b1c 7   9    .text   utf8    p(j\nY3\v
113  0x00002ba5 0x00012ba5 4   6    .text   utf8    S3ۉE blocks=Basic Latin,Arabic
114  0x00002bb3 0x00012bb3 4   5    .text   ascii   v<VW
115  0x00002c02 0x00012c02 7   8    .text   ascii   E\bPhoz&
116  0x00002c7b 0x00012c7b 4   5    .text   ascii   SVj@
117  0x00002cc6 0x00012cc6 8   10   .text   utf8    P(Wj\nY3\v
118  0x00002cda 0x00012cda 4   5    .text   ascii   Phr`
119  0x00002d19 0x00012d19 5   6    .text   ascii   \b@@f;
120  0x00002d44 0x00012d44 4   5    .text   ascii   @@f;
121  0x00002d6f 0x00012d6f 5   6    .text   ascii   \b@@f;
122  0x00002d9a 0x00012d9a 4   5    .text   ascii   @@f;
123  0x00002e0c 0x00012e0c 5   6    .text   ascii   t\bPSV
124  0x00002ea1 0x00012ea1 6   7    .text   ascii   9N\buTj
125  0x00002ebc 0x00012ebc 5   6    .text   ascii   9F\fu)
126  0x00002ee1 0x00012ee1 4   5    .text   ascii   t\aWV
127  0x00002f10 0x00012f10 4   5    .text   ascii   u\rWP
128  0x00002fbe 0x00012fbe 6   7    .text   ascii   8\buQ8H
129  0x00002fc5 0x00012fc5 4   5    .text   ascii   uL8H
130  0x00002fca 0x00012fca 4   5    .text   ascii   uG8H
131  0x00002fcf 0x00012fcf 4   5    .text   ascii   uB8H
132  0x00002fd4 0x00012fd4 4   5    .text   ascii   u=8H
133  0x00002fd9 0x00012fd9 4   5    .text   ascii   u88H
134  0x00002fde 0x00012fde 21  22   .text   ascii   u38H\au.8H\bu)8H\tu$8H\nu
135  0x00002ff4 0x00012ff4 4   5    .text   ascii   8H\vu
136  0x00002ff9 0x00012ff9 4   5    .text   ascii   8H\fu
137  0x00002ffe 0x00012ffe 4   5    .text   ascii   8H\ru
138  0x000030a8 0x000130a8 4   5    .text   ascii   t\vPP
139  0x00003108 0x00013108 4   5    .text   ascii   _^[]
140  0x00003160 0x00013160 4   5    .text   ascii   WWWW
141  0x000031bf 0x000131bf 4   5    .text   ascii   _^[]
142  0x000031d3 0x000131d3 5   7    .text   utf8    3҉E\f; blocks=Basic Latin,Cyrillic
143  0x000031f5 0x000131f5 6   9    .text   utf8    E\vF`t\f
144  0x00003260 0x00013260 6   7    .text   ascii   F$Wj&_
145  0x00003321 0x00013321 6   7    .text   ascii   B9U\fu>
146  0x00003390 0x00013390 8   9    .text   ascii   N0f;N2u\f
147  0x0000339b 0x0001339b 5   6    .text   ascii   ;N tK
148  0x00003425 0x00013425 5   6    .text   ascii   VVVVP
149  0x000034fa 0x000134fa 7   8    .text   ascii   hRptrjP
150  0x00003527 0x00013527 4   5    .text   ascii   H8tN
151  0x000035a8 0x000135a8 4   5    .text   ascii   F%WP
152  0x000035d0 0x000135d0 4   5    .text   ascii   9p8u
153  0x00003623 0x00013623 4   5    .text   ascii   _^[]
154  0x00003688 0x00013688 6   8    .text   utf8    t&3ɍV8 blocks=Basic Latin,Latin Extended-B
155  0x000036c5 0x000136c5 4   6    .text   utf8    t\n2ҋ blocks=Basic Latin,Cyrillic
156  0x000036f7 0x000136f7 4   6    .text   utf8    P83Ƀ blocks=Basic Latin,Latin Extended-B
157  0x00003732 0x00013732 4   5    .text   ascii   u\bWj
158  0x00003789 0x00013789 5   6    .text   ascii   PSSSh
159  0x0000390e 0x0001390e 4   5    .text   ascii   VhN7
160  0x00003914 0x00013914 4   5    .text   ascii   VVVV
161  0x0000392e 0x0001392e 4   5    .text   ascii   t+Vh
162  0x000039a3 0x000139a3 5   6    .text   ascii   9u\bu\a
163  0x00003acf 0x00013acf 4   5    .text   ascii   E\bPj
164  0x00003b1c 0x00013b1c 4   5    .text   ascii   >FJu
165  0x00003b21 0x00013b21 4   5    .text   ascii   [_^]
166  0x00003b5d 0x00013b5d 6   8    .text   utf8    \nȈ\f7G; blocks=Basic Latin,Latin Extended-B
167  0x00003bad 0x00013bad 6   8    .text   utf8    \nȈ\f7G; blocks=Basic Latin,Latin Extended-B
168  0x00003bb7 0x00013bb7 4   5    .text   ascii   _^[]
169  0x00003bcb 0x00013bcb 5   6    .text   ascii   9M\fv\r
170  0x00003bd7 0x00013bd7 5   6    .text   ascii   A;M\fr
171  0x00003bef 0x00013bef 4   5    .text   ascii   QQSV
172  0x00003c12 0x00013c12 6   7    .text   ascii   :E\bu\a3
173  0x00003cf6 0x00013cf6 4   7    .text   utf8    3ɉ\rԼ blocks=Basic Latin,Latin Extended-B,Armenian
174  0x00003d17 0x00013d17 4   5    .text   ascii   @_^[
175  0x00003d2b 0x00013d2b 7   8    .text   ascii   0jNXjtf
176  0x00003d35 0x00013d35 4   5    .text   ascii   XjAf
177  0x00003d3c 0x00013d3c 4   5    .text   ascii   Xjlf
178  0x00003d43 0x00013d43 4   5    .text   ascii   Xjof
179  0x00003d4e 0x00013d4e 4   5    .text   ascii   Xjcf
180  0x00003d55 0x00013d55 4   5    .text   ascii   Xjaf
181  0x00003d5c 0x00013d5c 4   5    .text   ascii   Xjtf
182  0x00003d63 0x00013d63 4   5    .text   ascii   Xjef
183  0x00003d6a 0x00013d6a 4   5    .text   ascii   XjVf
184  0x00003d71 0x00013d71 4   5    .text   ascii   Xjif
185  0x00003d78 0x00013d78 4   5    .text   ascii   Xjrf
186  0x00003d7f 0x00013d7f 4   5    .text   ascii   Xjtf
187  0x00003d86 0x00013d86 4   5    .text   ascii   Xjuf
188  0x00003d8d 0x00013d8d 4   5    .text   ascii   Xjaf
189  0x00003d94 0x00013d94 4   5    .text   ascii   Xjlf
190  0x00003d9b 0x00013d9b 4   5    .text   ascii   XjMf
191  0x00003da2 0x00013da2 4   5    .text   ascii   Xjef
192  0x00003da9 0x00013da9 4   5    .text   ascii   Xjmf
193  0x00003db0 0x00013db0 4   5    .text   ascii   Xjof
194  0x00003db7 0x00013db7 4   5    .text   ascii   Xjrf
195  0x00003dc3 0x00013dc3 4   5    .text   ascii   jyXf
196  0x00003e34 0x00013e34 6   8    .text   utf8    U\b3ɉ\n; blocks=Basic Latin,Latin Extended-B
197  0x00003e3e 0x00013e3e 7   8    .text   ascii   RQQj\bQh
198  0x00003f14 0x00013f14 4   5    .text   ascii   j\bhH
199  0x00003f29 0x00013f29 12  13   .text   ascii   t69u\bt19u\ft,
200  0x00003f92 0x00013f92 4   5    .text   ascii   j\bhX
201  0x00003fa7 0x00013fa7 12  13   .text   ascii   t69u\bt19u\ft,
202  0x00004093 0x00014093 5   7    .text   utf8    @8Pu\v
203  0x000040b7 0x000140b7 4   5    .text   ascii   VW9E
204  0x000040c7 0x000140c7 5   6    .text   ascii   9U\br\t
205  0x000040d0 0x000140d0 4   5    .text   ascii   9}\br
206  0x000040fe 0x000140fe 4   5    .text   ascii   @\fV3
207  0x00004171 0x00014171 4   5    .text   ascii   9E\f~
208  0x00004187 0x00014187 7   8    .text   ascii   r\r@;E\f|
209  0x000041b8 0x000141b8 4   5    .text   ascii   t\a9]
210  0x000041ce 0x000141ce 4   5    .text   ascii   t\f9
211  0x000041de 0x000141de 4   5    .text   ascii   tL9]
212  0x00004261 0x00014261 4   5    .text   ascii   u\fWt
213  0x000042e2 0x000142e2 4   5    .text   ascii   t\n9]
214  0x00004399 0x00014399 4   6    .text   utf8    \vE\b;
215  0x0000439f 0x0001439f 4   5    .text   ascii   t\e9X
216  0x000043c7 0x000143c7 5   7    .text   utf8    j\bY3\v
217  0x000043eb 0x000143eb 5   8    .text   utf8    Mĉ]̉] blocks=Basic Latin,Latin Extended-A,Combining Diacritical Marks
218  0x0000444b 0x0001444b 4   5    .text   ascii   u\f9]
219  0x000044aa 0x000144aa 5   7    .text   utf8    j\bY3\v
220  0x000044d8 0x000144d8 4   5    .text   ascii   9}\bu
221  0x00004545 0x00014545 4   5    .text   ascii   QQSV
222  0x0000454a 0x0001454a 4   5    .text   ascii   u\bW3
223  0x0000454f 0x0001454f 4   5    .text   ascii   9>uQ
224  0x00004582 0x00014582 4   5    .text   ascii   PWWW
225  0x000045bf 0x000145bf 4   5    .text   ascii   QQSV
226  0x000045c4 0x000145c4 4   5    .text   ascii   u\bW3
227  0x000045c9 0x000145c9 4   5    .text   ascii   9>uQ
228  0x000045fc 0x000145fc 4   5    .text   ascii   PWWW
229  0x00004657 0x00014657 6   8    .text   utf8    Wj\bY3\v
230  0x000046ef 0x000146ef 4   5    .text   ascii   )j,j
231  0x00004748 0x00014748 4   5    .text   ascii   E\b;E
232  0x0000474d 0x0001474d 4   5    .text   ascii   r\n;E
233  0x000048a2 0x000148a2 4   6    .text   utf8    }\b3+
234  0x00004933 0x00014933 4   5    .text   ascii   GG@@
235  0x00004984 0x00014984 4   5    .text   ascii   \b@@f
236  0x00004a1c 0x00014a1c 4   5    .text   ascii   E\f^]
237  0x00004a64 0x00014a64 4   5    .text   ascii   f9\at
238  0x00004a6a 0x00014a6a 4   5    .text   ascii   M\ff9
239  0x00004a6f 0x00014a6f 4   5    .text   ascii   t\bGG
240  0x00004a90 0x00014a90 4   5    .text   ascii   _^[]
241  0x00004aae 0x00014aae 4   5    .text   ascii   \b@@f
242  0x00004aff 0x00014aff 4   5    .text   ascii   _^[]
243  0x00004b9e 0x00014b9e 4   5    .text   ascii   8\at\r
244  0x00004bc6 0x00014bc6 4   5    .text   ascii   _^[]
245  0x00004be3 0x00014be3 7   11   .text   utf8    uԉ]܉]؉] blocks=Basic Latin,Cyrillic Supplement,Syriac,Arabic
246  0x00004c15 0x00014c15 6   7    .text   ascii   PSSSSh
247  0x00004c44 0x00014c44 7   8    .text   ascii   hCg44PS
248  0x00004c9d 0x00014c9d 4   5    .text   ascii   u9SV
249  0x00004caa 0x00014caa 5   6    .text   ascii   hCg45
250  0x00004cdb 0x00014cdb 4   5    .text   ascii   |T9]
251  0x00004ce0 0x00014ce0 7   8    .text   ascii   tEhCg46
252  0x00004cea 0x00014cea 4   5    .text   ascii   @@PS
253  0x00004d01 0x00014d01 5   6    .text   ascii   AAQSP
254  0x00004d59 0x00014d59 4   5    .text   ascii   t\bSV
255  0x00004dc9 0x00014dc9 6   7    .text   ascii   \fVWh.a
256  0x00004dea 0x00014dea 5   6    .text   ascii   9}\btk
257  0x00004e13 0x00014e13 7   8    .text   ascii   hCg15PW
258  0x00004e33 0x00014e33 4   5    .text   ascii   \tQWP
259  0x00004e49 0x00014e49 4   5    .text   ascii   \fPVf
260  0x00004e71 0x00014e71 4   5    .text   ascii   \fVW3
261  0x00004e9d 0x00014e9d 6   7    .text   ascii   PWWWWh
262  0x00004ee4 0x00014ee4 7   8    .text   ascii   hCg16PW
263  0x00004fc3 0x00014fc3 4   5    .text   ascii   t\ef;
264  0x00004fd6 0x00014fd6 4   5    .text   ascii   9E\f\e
265  0x00004ff5 0x00014ff5 5   6    .text   ascii   U\bSVW
266  0x0000513e 0x0001513e 4   5    .text   ascii   t\a9E
267  0x000051f1 0x000151f1 4   6    .text   utf8    sF3ҋ blocks=Basic Latin,Cyrillic
268  0x00005284 0x00015284 4   5    .text   ascii   u\fVP
269  0x00005386 0x00015386 4   5    .text   ascii   p Vj
270  0x000053e6 0x000153e6 4   5    .text   ascii   98tn
271  0x000054cc 0x000154cc 4   5    .text   ascii   PVj<
272  0x0000564b 0x0001564b 6   9    .text   utf8    Kuŋ]܃e blocks=Basic Latin,Latin Extended-A,Syriac
273  0x00005660 0x00015660 4   6    .text   utf8    }؍G\f blocks=Basic Latin,Arabic
274  0x0000569f 0x0001569f 4   5    .text   ascii   s|;G
275  0x000056fb 0x000156fb 4   7    .text   utf8    p\bS觩 blocks=Basic Latin,CJK Unified Ideographs
276  0x00005776 0x00015776 4   6    .text   utf8    )M\tU
277  0x00005832 0x00015832 4   5    .text   ascii   U\f;U
278  0x00005837 0x00015837 4   5    .text   ascii   ~\t9E
279  0x00005845 0x00015845 4   5    .text   ascii   9U\f}
280  0x00005852 0x00015852 6   8    .text   utf8    +ЋE\f+E blocks=Basic Latin,Cyrillic
281  0x000058f3 0x000158f3 6   7    .text   ascii   E$;X\bt
282  0x000059c9 0x000159c9 4   6    .text   utf8    Y3\r}
283  0x00005a0b 0x00015a0b 4   5    .text   ascii   Sj<W
284  0x00005a62 0x00015a62 4   5    .text   ascii   E\bVP
285  0x00005ab3 0x00015ab3 4   5    .text   ascii   QRPW
286  0x00005abd 0x00015abd 5   8    .text   utf8    EȋuĉE blocks=Basic Latin,Latin Extended-B,Latin Extended-A
287  0x00005af0 0x00015af0 4   5    .text   ascii   QVPS
288  0x00005b2b 0x00015b2b 4   5    .text   ascii   QVPS
289  0x00005b60 0x00015b60 4   5    .text   ascii   QVPS
290  0x00005b84 0x00015b84 4   5    .text   ascii   4A;E
291  0x00005b89 0x00015b89 4   5    .text   ascii   sc;u
292  0x00005bb5 0x00015bb5 4   5    .text   ascii   QRPW
293  0x00005c1d 0x00015c1d 8   9    .text   ascii   9]\b_^[t\b
294  0x00005c58 0x00015c58 6   7    .text   ascii   u\f@@AA
295  0x00005d01 0x00015d01 6   7    .text   ascii   u\f@@AA
296  0x00005d3e 0x00015d3e 4   9    .text   utf8    W3\r}
297  0x00005d7c 0x00015d7c 4   9    .text   utf8    W3\r}
298  0x00005d9a 0x00015d9a 4   5    .text   ascii   Ph6\
299  0x00005dbd 0x00015dbd 4   6    .text   utf8    }\b3+
300  0x00005e31 0x00015e31 5   6    .text   ascii   @;E\f|
301  0x00005e60 0x00015e60 4   5    .text   ascii   \b@@f
302  0x00005e70 0x00015e70 4   5    .text   ascii   <F.t
303  0x00005eac 0x00015eac 4   5    .text   ascii   <0.t
304  0x00005edb 0x00015edb 6   7    .text   ascii   t 9E\f~
305  0x00005ee4 0x00015ee4 4   5    .text   ascii   <B\u
306  0x00005eeb 0x00015eeb 5   6    .text   ascii   @;E\f|
307  0x00005f2c 0x00015f2c 4   5    .text   ascii   <1\u
308  0x00005fe7 0x00015fe7 6   8    .text   utf8    P+ȋE\bW blocks=Basic Latin,Latin Extended-B
309  0x000060ae 0x000160ae 4   5    .text   ascii   tF9~
310  0x000060b3 0x000160b3 5   6    .text   ascii   tAf9~
311  0x00006138 0x00016138 5   6    .text   ascii   PWWj\v
312  0x00006169 0x00016169 4   5    .text   ascii   QPj\v
313  0x000061b9 0x000161b9 7   8    .text   ascii   ty9E\ftt
314  0x000061c6 0x000161c6 4   5    .text   ascii   ;E\fs
315  0x000061d2 0x000161d2 4   5    .text   ascii    t9f
316  0x00006258 0x00016258 4   5    .text   ascii   \b@@f
317  0x0000626e 0x0001626e 4   5    .text   ascii   t\n9U
318  0x0000627f 0x0001627f 4   5    .text   ascii   t\n9U
319  0x000062c1 0x000162c1 8   9    .text   ascii   > tNFFf9
320  0x000062d7 0x000162d7 4   5    .text   ascii   \b@@f
321  0x000062fb 0x000162fb 4   7    .text   utf8    VWS觝 blocks=Basic Latin,CJK Unified Ideographs
322  0x0000630c 0x0001630c 4   5    .text   ascii   ^_[]
323  0x00006344 0x00016344 4   5    .text   ascii   <\tWP
324  0x0000639b 0x0001639b 5   6    .text   ascii   4\tVPW
325  0x000063fc 0x000163fc 4   5    .text   ascii   M\fSV
326  0x00006429 0x00016429 4   7    .text   utf8    E\b3\v
327  0x0000643c 0x0001643c 4   5    .text   ascii   9\nu,
328  0x0000648c 0x0001648c 4   5    .text   ascii   E\b[]
329  0x000064b5 0x000164b5 7   8    .text   ascii   ts9E\ftn
330  0x000064c2 0x000164c2 4   5    .text   ascii   ;E\fs
331  0x00006558 0x00016558 6   7    .text   ascii   </u\n8A
332  0x00006585 0x00016585 4   5    .text   ascii   t\a9]
333  0x000065bd 0x000165bd 5   8    .text   utf8    +IEԉ] blocks=Basic Latin,Cyrillic Supplement
334  0x000065c6 0x000165c6 4   5    .text   ascii   E\f9E
335  0x000065d5 0x000165d5 4   6    .text   utf8    ]܋E\b blocks=Basic Latin,Syriac
336  0x00006621 0x00016621 4   5    .text   ascii   ?=u~
337  0x00006686 0x00016686 5   6    .text   ascii   t\vVPW
338  0x000066eb 0x000166eb 4   5    .text   ascii   t\a9]
339  0x00006732 0x00016732 4   5    .text   ascii   t%9]
340  0x000067d3 0x000167d3 4   5    .text   ascii   E\bS3
341  0x000067ea 0x000167ea 4   6    .text   utf8    +Ѝ\f7 blocks=Basic Latin,Cyrillic
342  0x000067fe 0x000167fe 5   6    .text   ascii   \b@@Nu
343  0x00006807 0x00016807 4   5    .text   ascii   u\aHH
344  0x00006998 0x00016998 4   6    .text   utf8    \vBP]
345  0x000069ba 0x000169ba 4   6    .text   utf8    \vB(]
346  0x00006a3d 0x00016a3d 4   5    .text   ascii   \b@@f
347  0x00006a77 0x00016a77 4   5    .text   ascii   t4VW
348  0x00006a7f 0x00016a7f 4   5    .text   ascii   <6Wj
349  0x00006aa7 0x00016aa7 4   5    .text   ascii   E\f_^
350  0x00006b22 0x00016b22 4   5    .text   ascii   j0h 
351  0x00006b47 0x00016b47 6   8    .text   utf8    j\bY3\r}
352  0x00006bba 0x00016bba 4   5    .text   ascii   E\bPV
353  0x00006c30 0x00016c30 4   5    .text   ascii   j0h8
354  0x00006c8b 0x00016c8b 4   5    .text   ascii   u\bVV
355  0x00006cd8 0x00016cd8 4   5    .text   ascii   SSj\e
356  0x00006d02 0x00016d02 8   9    .text   ascii   WhCg35QS
357  0x00006d32 0x00016d32 6   8    .text   utf8    ;ÉE\f|9 blocks=Basic Latin,Latin-1 Supplement
358  0x00006d5f 0x00016d5f 6   7    .text   ascii   }\b\nw%h
359  0x00006da8 0x00016da8 5   7    .text   utf8    u\b3ۉ] blocks=Basic Latin,Arabic
360  0x00006ddb 0x00016ddb 4   5    .text   ascii   PSSh
361  0x00006df6 0x00016df6 6   7    .text   ascii   PSSSSW
362  0x00006f03 0x00016f03 4   5    .text   ascii   E\f^]
363  0x00006f10 0x00016f10 4   5    .text   ascii   j\bhP
364  0x00006fe0 0x00016fe0 5   6    .text   ascii   t;SVP
365  0x00007017 0x00017017 4   5    .text   ascii   E\b^[
366  0x0000706c 0x0001706c 4   5    .text   ascii   p Vj
367  0x0000709d 0x0001709d 4   5    .text   ascii   E\f[]
368  0x000070aa 0x000170aa 4   5    .text   ascii   j0h`
369  0x000070e3 0x000170e3 5   8    .text   utf8    M܉M̋E blocks=Basic Latin,Syriac,Combining Diacritical Marks
370  0x000070f9 0x000170f9 4   6    .text   utf8    3\vU$
371  0x00007158 0x00017158 4   6    .text   utf8    \fʍD3 blocks=Basic Latin,IPA Extensions
372  0x0000717e 0x0001717e 4   5    .text   ascii   M +M
373  0x00007185 0x00017185 4   7    .text   utf8    ʉE\vL blocks=IPA Extensions,Basic Latin
374  0x00007199 0x00017199 4   5    .text   ascii   w\t;E
375  0x000071dd 0x000171dd 4   5    .text   ascii   uc;E
376  0x00007210 0x00017210 4   5    .text   ascii   E +E
377  0x0000726d 0x0001726d 4   5    .text   ascii   E +E
378  0x00007280 0x00017280 4   5    .text   ascii   E +E
379  0x000072a9 0x000172a9 5   7    .text   utf8    3\vM$9
380  0x0000732d 0x0001732d 5   7    .text   utf8    \fW3\r}
381  0x0000737b 0x0001737b 5   6    .text   ascii   QSVW3
382  0x000073b3 0x000173b3 7   8    .text   ascii   E\f;u\f}K
